Meldedatum, value
2022-02-01, 1360.4
2022-02-02, 1405
2022-02-03, 1458.7
2022-02-04, 1504.9
2022-02-05, 1531.6
2022-02-06, 1542.4
2022-02-07, 1552.3
2022-02-08, 1575.7
2022-02-09, 1600.3
2022-02-10, 1610.1
2022-02-11, 1601.4
2022-02-12, 1597.5
2022-02-13, 1584.2
2022-02-14, 1573.7
2022-02-15, 1549.9
2022-02-16, 1523.2
2022-02-17, 1502.4
2022-02-18, 1482.3
2022-02-19, 1448.8
2022-02-20, 1445.5
2022-02-21, 1433.7
2022-02-22, 1411.2
2022-02-23, 1399
2022-02-24, 1372.8
2022-02-25, 1345.1
2022-02-26, 1336.9
2022-02-27, 1323.7
2022-02-28, 1313.1
2022-03-01, 1299.9
2022-03-02, 1270.3
2022-03-03, 1266.7
2022-03-04, 1293.5
2022-03-05, 1315.6
2022-03-06, 1332
2022-03-07, 1360.8
2022-03-08, 1405.2
2022-03-09, 1469.8
2022-03-10, 1537.3
2022-03-11, 1587.5
2022-03-12, 1645.7
2022-03-13, 1686
2022-03-14, 1697.2
2022-03-15, 1747.9
2022-03-16, 1792.8
2022-03-17, 1847.8
2022-03-18, 1896.6
2022-03-19, 1915.7
2022-03-20, 1900.5
2022-03-21, 1900.8
2022-03-22, 1936.8
2022-03-23, 1960.4
2022-03-24, 1961
2022-03-25, 1950.7
2022-03-26, 1938.2
2022-03-27, 1932.3
2022-03-28, 1908.9
2022-03-29, 1871.7
2022-03-30, 1835.3
2022-03-31, 1777.8
2022-04-01, 1712.6
2022-04-02, 1637.9
2022-04-03, 1583.8
2022-04-04, 1556
2022-04-05, 1494.2
2022-04-06, 1418
2022-04-07, 1332.7
2022-04-08, 1255.5
2022-04-09, 1208.4
2022-04-10, 1188
2022-04-11, 1183.4
2022-04-12, 1165.3
2022-04-13, 1131.3
2022-04-14, 1095.1
2022-04-15, 1074.7
2022-04-16, 976.2
2022-04-17, 947
2022-04-18, 936.8
2022-04-19, 812.4
2022-04-20, 783.5
2022-04-21, 808.6
2022-04-22, 814.8
2022-04-23, 885.4
2022-04-24, 888.6
2022-04-25, 880
2022-04-26, 978.8
2022-04-27, 955.8
2022-04-28, 878.8
2022-04-29, 805.3
2022-04-30, 755.7
2022-05-01, 731.1
2022-05-02, 717.7
2022-05-03, 679.2
2022-05-04, 639.8
2022-05-05, 608.8
2022-05-06, 591.6
2022-05-07, 578.2
2022-05-08, 569.7
2022-05-09, 566.7
2022-05-10, 564.2
2022-05-11, 550.1
2022-05-12, 534.9
2022-05-13, 516.4
2022-05-14, 504
2022-05-15, 495.8
2022-05-16, 491.3
2022-05-17, 468.2
2022-05-18, 436.1
2022-05-19, 407.9
2022-05-20, 382.9
2022-05-21, 362.5
2022-05-22, 354.9
2022-05-23, 351.7
2022-05-24, 329.3
2022-05-25, 303.5
2022-05-26, 281.3
2022-05-27, 238.1
2022-05-28, 229.3
2022-05-29, 225.4
2022-05-30, 224.8
2022-05-31, 224.7
2022-06-01, 230.5
2022-06-02, 241.9
2022-06-03, 282.8
2022-06-04, 291
2022-06-05, 293.6
2022-06-06, 294.4
2022-06-07, 249.2
2022-06-08, 272.9
2022-06-09, 317.5
2022-06-10, 352.3
2022-06-11, 383.4
2022-06-12, 391.7
2022-06-13, 397.8
2022-06-14, 491.2
2022-06-15, 518.1
2022-06-16, 517.9
2022-06-17, 476.8
2022-06-18, 491.3
2022-06-19, 495.5
2022-06-20, 496.5
2022-06-21, 518.6
2022-06-22, 556
2022-06-23, 594.2
2022-06-24, 671.4
2022-06-25, 683.3
2022-06-26, 688.1
2022-06-27, 689.9
2022-06-28, 703.7
2022-06-29, 719.8
2022-06-30, 733.7
2022-07-01, 744.3
2022-07-02, 753.6
2022-07-03, 749.7
2022-07-04, 748.3
2022-07-05, 753
2022-07-06, 751.2
2022-07-07, 753.9
2022-07-08, 754.7
2022-07-09, 755.4
2022-07-10, 754.9
2022-07-11, 755.8
2022-07-12, 768.3
2022-07-13, 778
2022-07-14, 787.7
2022-07-15, 795
2022-07-16, 810.5
2022-07-17, 812.6
2022-07-18, 811.3
2022-07-19, 815.2
2022-07-20, 813.7
2022-07-21, 797.5
2022-07-22, 781.6
2022-07-23, 758.8
2022-07-24, 755.2
2022-07-25, 753.7
2022-07-26, 736.7
2022-07-27, 706.2
2022-07-28, 675
2022-07-29, 641
2022-07-30, 608.2
2022-07-31, 600.3
2022-08-01, 595.6
2022-08-02, 552.2
2022-08-03, 511.7
2022-08-04, 478.9
2022-08-05, 455.9
2022-08-06, 439.8
2022-08-07, 437.1
2022-08-08, 436.1
2022-08-09, 414.6
2022-08-10, 394.2
2022-08-11, 378.7
2022-08-12, 368.1
2022-08-13, 361.9
2022-08-14, 359.1
2022-08-15, 358.3
2022-08-16, 344.2
2022-08-17, 339
2022-08-18, 334.8
2022-08-19, 329.4
2022-08-20, 319.9
2022-08-21, 318.1
2022-08-22, 316.4
2022-08-23, 311.6
2022-08-24, 298.3
2022-08-25, 288.4
2022-08-26, 280
2022-08-27, 276
2022-08-28, 274.1
2022-08-29, 273.9
2022-08-30, 268.7
2022-08-31, 263.2
2022-09-01, 254.5
2022-09-02, 248
2022-09-03, 243.5
2022-09-04, 243.3
2022-09-05, 242.4
2022-09-06, 238.5
2022-09-07, 236.5
2022-09-08, 239.6
2022-09-09, 243.5
2022-09-10, 245.4
2022-09-11, 245
2022-09-12, 245.2
2022-09-13, 250.3
2022-09-14, 257.1
2022-09-15, 261.2
2022-09-16, 268
2022-09-17, 273.6
2022-09-18, 274.3
2022-09-19, 275
2022-09-20, 284.3
2022-09-21, 292.4
2022-09-22, 305.6
2022-09-23, 317.8
2022-09-24, 333.6
2022-09-25, 340.2
2022-09-26, 344.2
2022-09-27, 375.8
2022-09-28, 426.1
2022-09-29, 472.5
2022-09-30, 507.3
2022-10-01, 538.6
2022-10-02, 547.4
2022-10-03, 551.2
2022-10-04, 471.1
2022-10-05, 503.5
2022-10-06, 573.1
2022-10-07, 650.5
2022-10-08, 700.1
2022-10-09, 706.9
2022-10-10, 713.5
2022-10-11, 869.9
2022-10-12, 889.7
2022-10-13, 858.5
2022-10-14, 814.6
2022-10-15, 785.2
2022-10-16, 779.7
2022-10-17, 775.1
2022-10-18, 753.7
2022-10-19, 735.3
2022-10-20, 713.6
2022-10-21, 687.5
2022-10-22, 662.6
2022-10-23, 656.5
2022-10-24, 653.4
2022-10-25, 612.2
2022-10-26, 567.7
2022-10-27, 523.9
2022-10-28, 489.8
2022-10-29, 460.4
2022-10-30, 452.8
2022-10-31, 449.3
2022-11-01, 388.3
2022-11-02, 324.2
2022-11-03, 317.5
2022-11-04, 308.7
2022-11-05, 298.8
2022-11-06, 296.2
2022-11-07, 292.6
2022-11-08, 303.1
2022-11-09, 312.4
2022-11-10, 279.5
2022-11-11, 258.1
2022-11-12, 245.8
2022-11-13, 243.1
2022-11-14, 242.7
2022-11-15, 228.7
2022-11-16, 219.3
2022-11-17, 211.5
2022-11-18, 206.4
2022-11-19, 204.4
2022-11-20, 204.3
2022-11-21, 203.2
2022-11-22, 200.2
2022-11-23, 200.2
2022-11-24, 201.8
2022-11-25, 203
2022-11-26, 203.5
2022-11-27, 204
2022-11-28, 204.2
2022-11-29, 207.6
2022-11-30, 213
2022-12-01, 216.6
2022-12-02, 218.7
2022-12-03, 220.5
2022-12-04, 220.6
2022-12-05, 220.9
2022-12-06, 221
2022-12-07, 224.8
2022-12-08, 228.2
2022-12-09, 232.1
2022-12-10, 234.4
2022-12-11, 235.8
2022-12-12, 235.5
2022-12-13, 228.1
