Altersgruppe, Meldedatum, value
>=80, 2021-05-23, 24.6
>=80, 2021-05-24, 23
>=80, 2021-05-25, 21
>=80, 2021-05-26, 18.3
>=80, 2021-05-27, 15.9
>=80, 2021-05-28, 15.6
>=80, 2021-05-29, 13.9
>=80, 2021-05-30, 13.2
>=80, 2021-05-31, 12.7
>=80, 2021-06-01, 13.1
>=80, 2021-06-02, 12.8
>=80, 2021-06-03, 11.6
>=80, 2021-06-04, 9.6
>=80, 2021-06-05, 8.7
>=80, 2021-06-06, 8.2
>=80, 2021-06-07, 8.1
>=80, 2021-06-08, 7.9
>=80, 2021-06-09, 7.5
>=80, 2021-06-10, 6.9
>=80, 2021-06-11, 6.4
>=80, 2021-06-12, 6.1
>=80, 2021-06-13, 5.5
>=80, 2021-06-14, 5.1
>=80, 2021-06-15, 4.7
>=80, 2021-06-16, 4.3
>=80, 2021-06-17, 3.8
>=80, 2021-06-18, 3.3
>=80, 2021-06-19, 2.8
>=80, 2021-06-20, 2.7
>=80, 2021-06-21, 2.6
>=80, 2021-06-22, 2.2
>=80, 2021-06-23, 2
>=80, 2021-06-24, 1.7
>=80, 2021-06-25, 1.5
>=80, 2021-06-26, 1.7
>=80, 2021-06-27, 1.5
>=80, 2021-06-28, 1.5
>=80, 2021-06-29, 1.5
>=80, 2021-06-30, 1.4
>=80, 2021-07-01, 1.4
>=80, 2021-07-02, 1.3
>=80, 2021-07-03, 1.2
>=80, 2021-07-04, 1.2
>=80, 2021-07-05, 1.1
>=80, 2021-07-06, 1.1
>=80, 2021-07-07, 1.2
>=80, 2021-07-08, 1.1
>=80, 2021-07-09, 1.2
>=80, 2021-07-10, 1.3
>=80, 2021-07-11, 1.4
>=80, 2021-07-12, 1.5
>=80, 2021-07-13, 1.6
>=80, 2021-07-14, 1.7
>=80, 2021-07-15, 1.8
>=80, 2021-07-16, 1.8
>=80, 2021-07-17, 1.9
>=80, 2021-07-18, 1.8
>=80, 2021-07-19, 1.8
>=80, 2021-07-20, 2
>=80, 2021-07-21, 2
>=80, 2021-07-22, 2.2
>=80, 2021-07-23, 2.1
>=80, 2021-07-24, 2.4
>=80, 2021-07-25, 2.4
>=80, 2021-07-26, 2.4
>=80, 2021-07-27, 2.4
>=80, 2021-07-28, 2.7
>=80, 2021-07-29, 3.2
>=80, 2021-07-30, 3.6
>=80, 2021-07-31, 3.5
>=80, 2021-08-01, 3.7
>=80, 2021-08-02, 3.8
>=80, 2021-08-03, 4
>=80, 2021-08-04, 4.2
>=80, 2021-08-05, 4.2
>=80, 2021-08-06, 4.5
>=80, 2021-08-07, 5
>=80, 2021-08-08, 5.3
>=80, 2021-08-09, 5.3
>=80, 2021-08-10, 5.5
>=80, 2021-08-11, 5.8
>=80, 2021-08-12, 6.3
>=80, 2021-08-13, 7.3
>=80, 2021-08-14, 7.4
>=80, 2021-08-15, 7.9
>=80, 2021-08-16, 8.2
>=80, 2021-08-17, 8.8
>=80, 2021-08-18, 9.6
>=80, 2021-08-19, 9.8
>=80, 2021-08-20, 9.6
>=80, 2021-08-21, 10
>=80, 2021-08-22, 10.4
>=80, 2021-08-23, 10.7
>=80, 2021-08-24, 11.2
>=80, 2021-08-25, 12.1
>=80, 2021-08-26, 13.5
>=80, 2021-08-27, 15.1
>=80, 2021-08-28, 16.2
>=80, 2021-08-29, 16.8
>=80, 2021-08-30, 17
>=80, 2021-08-31, 17.8
>=80, 2021-09-01, 19.7
>=80, 2021-09-02, 21
>=80, 2021-09-03, 21.6
>=80, 2021-09-04, 22.6
>=80, 2021-09-05, 23.3
>=80, 2021-09-06, 23.7
>=80, 2021-09-07, 23.8
>=80, 2021-09-08, 24.4
>=80, 2021-09-09, 24.9
>=80, 2021-09-10, 26.2
>=80, 2021-09-11, 27
>=80, 2021-09-12, 27.5
>=80, 2021-09-13, 27.5
>=80, 2021-09-14, 28.5
>=80, 2021-09-15, 29.3
>=80, 2021-09-16, 29.8
>=80, 2021-09-17, 28.9
>=80, 2021-09-18, 28.5
>=80, 2021-09-19, 28.1
>=80, 2021-09-20, 27.9
>=80, 2021-09-21, 27.1
>=80, 2021-09-22, 25
>=80, 2021-09-23, 23.9
>=80, 2021-09-24, 23.9
>=80, 2021-09-25, 23.9
>=80, 2021-09-26, 23.7
>=80, 2021-09-27, 23.6
>=80, 2021-09-28, 24.1
>=80, 2021-09-29, 26.1
>=80, 2021-09-30, 27.8
>=80, 2021-10-01, 27.8
>=80, 2021-10-02, 28.5
>=80, 2021-10-03, 28.9
>=80, 2021-10-04, 28.7
>=80, 2021-10-05, 28.3
>=80, 2021-10-06, 28.6
>=80, 2021-10-07, 28.7
>=80, 2021-10-08, 30.5
>=80, 2021-10-09, 30.7
>=80, 2021-10-10, 31.6
>=80, 2021-10-11, 32.2
>=80, 2021-10-12, 33.2
>=80, 2021-10-13, 33.7
>=80, 2021-10-14, 34.6
>=80, 2021-10-15, 35.5
>=80, 2021-10-16, 37.2
>=80, 2021-10-17, 38.3
>=80, 2021-10-18, 39.2
>=80, 2021-10-19, 43.2
>=80, 2021-10-20, 48.2
>=80, 2021-10-21, 53.2
>=80, 2021-10-22, 58.8
>=80, 2021-10-23, 63.6
>=80, 2021-10-24, 67.2
>=80, 2021-10-25, 68.2
>=80, 2021-10-26, 69.7
>=80, 2021-10-27, 72.7
>=80, 2021-10-28, 79.1
>=80, 2021-10-29, 84.1
>=80, 2021-10-30, 88.5
>=80, 2021-10-31, 92.3
>=80, 2021-11-01, 94.9
>=80, 2021-11-02, 94.9
>=80, 2021-11-03, 98.3
>=80, 2021-11-04, 106
>=80, 2021-11-05, 114.9
>=80, 2021-11-06, 123.5
>=80, 2021-11-07, 127.5
>=80, 2021-11-08, 129.3
>=80, 2021-11-09, 137
>=80, 2021-11-10, 145.9
>=80, 2021-11-11, 149.6
>=80, 2021-11-12, 154.1
>=80, 2021-11-13, 158.3
>=80, 2021-11-14, 163.2
>=80, 2021-11-15, 167.5
>=80, 2021-11-16, 170.9
>=80, 2021-11-17, 179
>=80, 2021-11-18, 186
>=80, 2021-11-19, 196
>=80, 2021-11-20, 204
>=80, 2021-11-21, 208
>=80, 2021-11-22, 211.1
>=80, 2021-11-23, 220.5
>=80, 2021-11-24, 226.8
>=80, 2021-11-25, 233.3
>=80, 2021-11-26, 234.5
>=80, 2021-11-27, 234.3
>=80, 2021-11-28, 234.9
>=80, 2021-11-29, 234.1
>=80, 2021-11-30, 228.9
>=80, 2021-12-01, 223.2
>=80, 2021-12-02, 218.3
>=80, 2021-12-03, 212.7
>=80, 2021-12-04, 208.9
>=80, 2021-12-05, 206.3
>=80, 2021-12-06, 204.7
>=80, 2021-12-07, 203.8
>=80, 2021-12-08, 198.8
>=80, 2021-12-09, 195.8
>=80, 2021-12-10, 190.6
>=80, 2021-12-11, 186.3
>=80, 2021-12-12, 181.2
>=80, 2021-12-13, 175.8
>=80, 2021-12-14, 168.7
>=80, 2021-12-15, 166.7
>=80, 2021-12-16, 159.6
>=80, 2021-12-17, 152.8
>=80, 2021-12-18, 146.4
>=80, 2021-12-19, 142
>=80, 2021-12-20, 140.6
>=80, 2021-12-21, 136.7
>=80, 2021-12-22, 129.2
>=80, 2021-12-23, 121.2
>=80, 2021-12-24, 113.2
>=80, 2021-12-25, 101
>=80, 2021-12-26, 91.8
>=80, 2021-12-27, 89.9
>=80, 2021-12-28, 87
>=80, 2021-12-29, 82.1
>=80, 2021-12-30, 79.9
>=80, 2021-12-31, 81.6
>=80, 2022-01-01, 84.3
>=80, 2022-01-02, 84.8
>=80, 2022-01-03, 85.6
>=80, 2022-01-04, 89.1
>=80, 2022-01-05, 95.6
>=80, 2022-01-06, 98.8
>=80, 2022-01-07, 97.2
>=80, 2022-01-08, 102.1
>=80, 2022-01-09, 107.8
>=80, 2022-01-10, 107.8
>=80, 2022-01-11, 106.7
>=80, 2022-01-12, 102
>=80, 2022-01-13, 102
>=80, 2022-01-14, 106.7
>=80, 2022-01-15, 109
>=80, 2022-01-16, 112.4
>=80, 2022-01-17, 115.3
>=80, 2022-01-18, 121.7
>=80, 2022-01-19, 131.6
>=80, 2022-01-20, 141.7
>=80, 2022-01-21, 155.9
>=80, 2022-01-22, 171.6
>=80, 2022-01-23, 181.6
>=80, 2022-01-24, 188.6
>=80, 2022-01-25, 202.2
>=80, 2022-01-26, 216.4
>=80, 2022-01-27, 230.1
>=80, 2022-01-28, 243.7
>=80, 2022-01-29, 255.4
>=80, 2022-01-30, 265
>=80, 2022-01-31, 269.9
>=80, 2022-02-01, 278.7
>=80, 2022-02-02, 298.1
>=80, 2022-02-03, 323.1
>=80, 2022-02-04, 344.8
>=80, 2022-02-05, 365.1
>=80, 2022-02-06, 376.2
>=80, 2022-02-07, 384.3
>=80, 2022-02-08, 397.7
>=80, 2022-02-09, 419.9
>=80, 2022-02-10, 443
>=80, 2022-02-11, 461.9
>=80, 2022-02-12, 480.9
>=80, 2022-02-13, 486.7
>=80, 2022-02-14, 486.4
>=80, 2022-02-15, 491.3
>=80, 2022-02-16, 499.5
>=80, 2022-02-17, 509.9
>=80, 2022-02-18, 516
>=80, 2022-02-19, 511.4
>=80, 2022-02-20, 516.3
>=80, 2022-02-21, 518.1
>=80, 2022-02-22, 516.2
>=80, 2022-02-23, 521.5
>=80, 2022-02-24, 527
>=80, 2022-02-25, 529.3
>=80, 2022-02-26, 543.8
>=80, 2022-02-27, 547.3
>=80, 2022-02-28, 545.9
>=80, 2022-03-01, 547.9
>=80, 2022-03-02, 542.1
>=80, 2022-03-03, 539.9
>=80, 2022-03-04, 545.3
>=80, 2022-03-05, 543.4
>=80, 2022-03-06, 540.1
>=80, 2022-03-07, 545.8
>=80, 2022-03-08, 555.5
>=80, 2022-03-09, 571.2
>=80, 2022-03-10, 597.3
>=80, 2022-03-11, 620.4
>=80, 2022-03-12, 648.6
>=80, 2022-03-13, 673.1
>=80, 2022-03-14, 678.8
>=80, 2022-03-15, 706
>=80, 2022-03-16, 735
>=80, 2022-03-17, 764.3
>=80, 2022-03-18, 792.7
>=80, 2022-03-19, 809.3
>=80, 2022-03-20, 806.8
>=80, 2022-03-21, 812.7
>=80, 2022-03-22, 834
>=80, 2022-03-23, 849.4
>=80, 2022-03-24, 851.7
>=80, 2022-03-25, 852.4
>=80, 2022-03-26, 846.5
>=80, 2022-03-27, 846
>=80, 2022-03-28, 837.5
>=80, 2022-03-29, 822.3
>=80, 2022-03-30, 813.2
>=80, 2022-03-31, 803.9
>=80, 2022-04-01, 779.8
>=80, 2022-04-02, 755
>=80, 2022-04-03, 732.3
>=80, 2022-04-04, 718.9
>=80, 2022-04-05, 697.3
>=80, 2022-04-06, 661.8
>=80, 2022-04-07, 615.6
>=80, 2022-04-08, 579.7
>=80, 2022-04-09, 554.4
>=80, 2022-04-10, 544.5
>=80, 2022-04-11, 543
>=80, 2022-04-12, 536.6
>=80, 2022-04-13, 527.4
>=80, 2022-04-14, 514
>=80, 2022-04-15, 510.8
>=80, 2022-04-16, 462
>=80, 2022-04-17, 445.7
>=80, 2022-04-18, 438
>=80, 2022-04-19, 380.7
>=80, 2022-04-20, 359.7
>=80, 2022-04-21, 357.7
>=80, 2022-04-22, 358.1
>=80, 2022-04-23, 394.8
>=80, 2022-04-24, 399.2
>=80, 2022-04-25, 399.3
>=80, 2022-04-26, 446.7
>=80, 2022-04-27, 446.3
>=80, 2022-04-28, 424.7
>=80, 2022-04-29, 390.9
>=80, 2022-04-30, 369
>=80, 2022-05-01, 356.1
>=80, 2022-05-02, 350.7
>=80, 2022-05-03, 335.4
>=80, 2022-05-04, 315.3
